English,Armenian,Definition,Synonyms,Stage
"ability","ունակություն","","","Mastered"
"able","կարող, ունակ","","","In Progress"
"abortion","աբորտ, հղիության ընդհատում","","","In Progress"
"about","մասին, մոտ","","","In Progress"
"above","վերևում, վերև","","","In Progress"
"abroad","արտերկրում","","","In Progress"
"absence","բացակայություն","","","Mastered"
"absolute","բացարձակ","","","In Progress"
"absolutely","բացարձակապես","","","In Progress"
"absorb","կլանել, ներծծել","","","In Progress"
"academic","ակադեմիական","","","In Progress"
"accept","ընդունել","","","In Progress"
"access","մուտք, հասանելիություն","","","In Progress"
"accident","դժբախտ պատահար","","","In Progress"
"accompany","ուղեկցել","","","In Progress"
"accomplish","կատարել, իրականացնել","","","In Progress"
"According","համաձայն","","","In Progress"
"account","հաշիվ, հաշվետվություն","","","In Progress"
"accuse","մեղադրել","","","In Progress"
"achieve","հասնել, ձեռք բերել","","","In Progress"
"achievement","ձեռքբերում","","","In Progress"
"acknowledge","ճանաչել, ընդունել","","","In Progress"
"acquaintances","ծանոթներ","","","In Progress"
"acquire","ձեռք բերել","","","In Progress"
"across","դիմաց, ամբողջովին","","","In Progress"
"Act","գործել, ակտ","","","In Progress"
"action","գործողություն","","","Mastered"
"active","ակտիվ","","","In Progress"
"activist","ակտիվիստ","","","In Progress"
"activity","գործունեություն","","","In Progress"
"actor","դերասան","","","In Progress"
"actress","դերասանուհի","","","In Progress"
"actual","փաստացի","","","In Progress"
"actually","իրականում","","","In Progress"
"ad","գովազդ","","","In Progress"
"adapt","հարմարեցնել","","","In Progress"
"add","ավելացնել","","","In Progress"
"address","հասցե, դիմել","","","In Progress"
"administration","վարչություն","","","In Progress"
"administrator","ադմինիստրատոր","","","In Progress"
"admire","հիանալ","","","In Progress"
"admission","ընդունելություն","","","In Progress"
"adopt","որդեգրել, ընդունել","","","Mastered"
"adult","մեծահասակ","","","In Progress"
"advance","առաջընթաց","","","In Progress"
"advanced","առաջադեմ","","","In Progress"
"advantage","առավելություն","","","In Progress"
"adventure","արկած","","","In Progress"
"advertising","գովազդ","","","In Progress"
"advice","խորհուրդ","","","In Progress"
"advise","խորհուրդ տալ","","","In Progress"
"adviser","խորհրդատու","","","In Progress"
"advocate","պաշտպան","","","In Progress"
"affair","գործ, սիրավեպ","","","In Progress"
"affect","ազդել","","","In Progress"
"afraid","վախենալ","","","In Progress"
"African","աֆրիկյան","","","In Progress"
"African-American","աֆրո-ամերիկյան","","","In Progress"
"after","հետո","","","In Progress"
"afternoon","կեսօրից հետո","","","In Progress"
"again","Կրկին","","","Mastered"
"against","դեմ","","","In Progress"
"age","տարիք","","","In Progress"
"agency","գործակալություն","","","In Progress"
"agenda","օրակարգ","","","In Progress"
"agent","գործակալ","","","In Progress"
"aggressive","ագրեսիվ","","","In Progress"
"ago","առաջ","","","In Progress"
"agree","համաձայնվել","","","In Progress"
"agreement","համաձայնություն","","","In Progress"
"agricultural","գյուղատնտեսական","","","In Progress"
"ah","ահ","","","In Progress"
"Ahead","առաջ","","","In Progress"
"aid","օգնություն","","","In Progress"
"aide","օգնական","","","In Progress"
"AIDS","ՁԻԱՀ","","","In Progress"
"aim","նպատակ","","","In Progress"
"air","օդ","","","In Progress"
"aircraft","օդանավ","","","In Progress"
"airline","ավիաուղի","","","Mastered"
"airport","օդանավակայան","","","In Progress"
"album","ալբոմ","","","In Progress"
"alcohol","ալկոհոլ","","","In Progress"
"alive","կենդանի","","","In Progress"
"all","բոլոր","","","In Progress"
"alliance","դաշինք","","","In Progress"
"allow","թույլատրել","","","In Progress"
"ally","դաշնակից","","","Mastered"
"almost","գրեթե","","","In Progress"
"alone","մենակ","","","In Progress"
"Along","երկայնությամբ","","","In Progress"
"already","արդեն","","","In Progress"
"also","նաև","","","In Progress"
"alter","փոխել","","","In Progress"
"alternative","այլընտրանք","","","In Progress"
"Although","չնայած","","","In Progress"
"always","միշտ","","","In Progress"
"AM","AM","","","In Progress"
"amazing","հիասքանչ","","","In Progress"
"American","ամերիկյան","","","In Progress"
"Among","մեջ","","","In Progress"
"amount","գումար, քանակ","","","In Progress"
"analysis","վերլուծություն","","","In Progress"
"analyst","վերլուծաբան","","","In Progress"
"analyze","վերլուծել","","","Mastered"
"ancient","հին","","","In Progress"
"and","և","","","In Progress"
"anger","զայրույթ","","","In Progress"
"angle","անկյուն","","","In Progress"
"angry","զայրացած","","","In Progress"
"animal","կենդանի","","","In Progress"
"anniversary","տարեդարձ","","","In Progress"
"announce","հայտարարել","","","In Progress"
"annual","տարեկան","","","In Progress"
"another","մեկ այլ","","","In Progress"
"answer","պատասխան","","","In Progress"
"anticipate","կանխատեսել","","","In Progress"
"anxiety","անհանգստություն","","","Mastered"
"any","ցանկացած","","","In Progress"
"anybody","որևէ մեկը","","","In Progress"
"anymore","այլևս","","","In Progress"
"anyone","որևէ մեկը","","","In Progress"
"anything","որևէ բան","","","In Progress"
"anyway","այնուամենայնիվ","","","In Progress"
"anywhere","ցանկացած վայրում","","","In Progress"
"apart","բացի","","","In Progress"
"apartment","բնակարան","","","In Progress"
"apparent","ակնհայտ","","","In Progress"
"apparently","ակնհայտորեն","","","In Progress"
"appeal","բողոքարկում","","","Mastered"
"appear","երևալ","","","In Progress"
"appearance","արտաքին տեսք","","","In Progress"
"apple","խնձոր","","","In Progress"
"application","դիմում, ծրագիր","","","In Progress"
"apply","կիրառել, դիմել","","","In Progress"
"appoint","նշանակել","","","In Progress"
"appointment","հանդիպում","","","In Progress"
"appreciate","գնահատել","","","In Progress"
"approach","մոտենալ, մոտեցում","","","In Progress"
"approval","հաստատում","","","In Progress"
"approve","Հաստատել","","","Mastered"
"approximately","մոտավորապես","","","In Progress"
"Arab","արաբ","","","In Progress"
"architect","ճարտարապետ","","","In Progress"
"area","տարածք","","","In Progress"
"argue","վիճել","","","In Progress"
"argument","փաստարկ","","","In Progress"
"arise","առաջանալ","","","In Progress"
"arm","ձեռք","","","In Progress"
"armed"," զինված","","","In Progress"
"army","բանակ","","","In Progress"
"around","շուրջ","","","In Progress"
"arrange","կազմակերպել","","","In Progress"
"arrangement","դասավորություն","","","Mastered"
"arrest","ձերբակալություն","","","In Progress"
"arrival","ժամանում","","","In Progress"
"arrive","ժամանել","","","In Progress"
"art","արվեստ","","","In Progress"
"article","հոդված","","","In Progress"
"artist","նկարիչ, արտիստ","","","In Progress"
"artistic","արվեստի","","","In Progress"
"as","որպես","","","Mastered"
"ashamed","ամաչկոտ","","","In Progress"
"Asian","ասիական","","","In Progress"
"aside","կողքի","","","In Progress"
"ask","հարցնել","","","In Progress"
"asleep","քնած","","","In Progress"
"aspect","կողմ","","","In Progress"
"assault","հարձակում","","","In Progress"
"assert","պնդել","","","In Progress"
"assess","գնահատել","","","In Progress"
"assessment","գնահատում","","","In Progress"
"asset","ակտիվ","","","In Progress"
"assign","հանձնարարել","","","In Progress"
"assignment","հանձնարարություն","","","In Progress"
"assist","օգնել","","","In Progress"
"assistance","օգնություն","","","In Progress"
"assistant","օգնական","","","In Progress"
"associate","ասոցացնել","","","In Progress"
"association","ասոցիացիա","","","In Progress"
"assume","ենթադրել","","","In Progress"
"assumption","ենթադրություն","","","In Progress"
"assure","հավաստիացնել","","","In Progress"
"astounding","ապշեցուցիչ","","","In Progress"
"at","մոտ, -ում","","","In Progress"
"athlete","մարզիկ","","","In Progress"
"athletic","մարզական","","","In Progress"
"atmosphere","մթնոլորտ","","","In Progress"
"attach","կցել","","","In Progress"
"attack","հարձակում","","","In Progress"
"attempt","փորձ","","","In Progress"
"attend","մասնակցել","","","In Progress"
"attention","ուշադրություն","","","In Progress"
"attitude","վերաբերմունք","","","In Progress"
"attorney","փաստաբան","","","Mastered"
"attract","գրավել","","","In Progress"
"attractive","գրավիչ","","","In Progress"
"attribute","հատկանիշ","","","In Progress"
"audience","ունկնդիրներ","","","Mastered"
"author","հեղինակ","","","In Progress"
"authority","հեղինակություն, իշխանություն","","","In Progress"
"auto","ավտո","","","In Progress"
"available","հասանելի","","","In Progress"
"average","միջին","","","In Progress"
"avoid","խուսափել","","","In Progress"
"award","մրցանակ","","","In Progress"
"aware","տեղյակ","","","In Progress"
"awareness","զգույշություն","","","Mastered"
"away","հեռու","","","In Progress"
"awful","սարսափելի","","","In Progress"
"baby","երեխա, նորածին","","","In Progress"
"back","մեջք, հետ","","","In Progress"
"background","ֆոն","","","In Progress"
"bad","վատ","","","In Progress"
"badly","վատ","","","In Progress"
"bag","պայուսակ","","","In Progress"
"bake","թխել","","","Mastered"
"balance","հավասարակշռություն","","","In Progress"
"ball","գնդակ","","","In Progress"
"ban","արգելել","","","In Progress"
"band","խումբ","","","In Progress"
"bank","բանկ","","","In Progress"
"bar","բար, ձող","","","In Progress"
"barely","հազիվ","","","In Progress"
"barrel","տակառ","","","In Progress"
"base","հիմք","","","In Progress"
"baseball","բեյսբոլ","","","In Progress"
"basic","հիմնական","","","In Progress"
"basically","հիմնականում","","","In Progress"
"basis","հիմք","","","Mastered"
"basket","զամբյուղ","","","Mastered"
"basketball","բասկետբոլ","","","In Progress"
"bathroom","լոգարան","","","In Progress"
"battery","մարտկոց","","","In Progress"
"battle","ճակատամարտ","","","In Progress"
"be","լինել","","","In Progress"
"beach","ծովափ","","","In Progress"
"bean","լոբի","","","In Progress"
"bear","արջ, կրել","","","In Progress"
"beat","հաղթել, ծեծել","","","In Progress"
"beautiful","գեղեցիկ","","","In Progress"
"beauty","գեղեցկություն","","","In Progress"
"because","քանի որ","","","In Progress"
"become","դառնալ","","","In Progress"
"bed","մահճակալ","","","In Progress"
"bedroom","ննջասենյակ","","","In Progress"
"beer","գարեջուր","","","In Progress"
"before","առաջ","","","In Progress"
"begin","սկսել","","","In Progress"
"beginning","սկիզբ","","","In Progress"
"behavior","վարք","","","In Progress"
"behind","հետևում","","","In Progress"
"being","եղած","","","In Progress"
"belief","հավատք","","","In Progress"
"believe","հավատալ","","","In Progress"
"bell","զանգ","","","In Progress"
"belong","պատկանել","","","In Progress"
"below","ներքև","","","In Progress"
"bench","նստարան","","","In Progress"
"beneath","տակ","","","In Progress"
"benefit","օգուտ","","","In Progress"
"beside","կողքին","","","In Progress"
"besides","բացի դրանից","","","In Progress"
"best","լավագույն","","","In Progress"
"bet","խաղադրույք","","","In Progress"
"better","ավելի լավ","","","In Progress"
"between","միջև","","","In Progress"
"beyond","այն կողմ","","","In Progress"
"Bible","Աստվածաշունչ","","","In Progress"
"big","մեծ","","","In Progress"
"bike","հեծանիվ","","","In Progress"
"bill","հաշիվ, օրինագիծ","","","In Progress"
"billion","միլիարդ","","","In Progress"
"bind","կապել","","","In Progress"
"biological","կենսաբանական","","","In Progress"
"bird","թռչուն","","","In Progress"
"birth","ծնունդ","","","In Progress"
"birthday","ծննդյան օր","","","In Progress"
"bit","կտոր","","","In Progress"
"bite","կծել","","","In Progress"
"black","սև","","","In Progress"
"blade","սայր","","","In Progress"
"blame","մեղադրել","","","In Progress"
"blanket","վերմակ","","","In Progress"
"blind","կույր","","","In Progress"
"block","արգելափակել","","","In Progress"
"blood","արյուն","","","In Progress"
"blow","փչել","","","In Progress"
"blue","կապույտ","","","In Progress"
"board","տախտակ, խումբ","","","In Progress"
"boat","նավ","","","In Progress"
"body","մարմին","","","In Progress"
"bomb","ռումբ","","","In Progress"
"bombing","ռմբակոծություն","","","In Progress"
"bond","կապ","","","In Progress"
"bone","ոսկր","","","In Progress"
"book","գիրք","","","In Progress"
"boom","բում","","","In Progress"
"border","սահման","","","In Progress"
"born","ծնված","","","In Progress"
"borrow","փոխառնել","","","In Progress"
"boss","պետ","","","In Progress"
"both","երկուսն էլ","","","In Progress"
"bother","անհանգստացնել","","","In Progress"
"bottle","շիշ","","","In Progress"
"bottom","հատակ","","","In Progress"
"boundary","սահման","","","In Progress"
"bowl","աման","","","In Progress"
"box","տուփ","","","In Progress"
"boy","տղա","","","Mastered"
"boyfriend","տղամարդու ընկեր","","","In Progress"
"brain","ուղեղ","","","In Progress"
"branch","ճյուղ","","","In Progress"
"brand","բրենդ","","","In Progress"
"bread","հաց","","","In Progress"
"break","կոտրել","","","In Progress"
"breakfast","նախաճաշ","","","In Progress"
"breathe","շնչել","","","In Progress"
"bridge","կամուրջ","","","In Progress"
"brief","Կարճ, հակիրճ","","","Mastered"
"briefly","հակիրճ","","","In Progress"
"bright","պայծառ","","","In Progress"
"brilliant","փայլուն","","","In Progress"
"bring","բերել","","","In Progress"
"British","բրիտանական","","","In Progress"
"broken","կոտրված","","","In Progress"
"brother","եղբայր","","","In Progress"
"brown","շագանակագույն","","","In Progress"
"brush","վրձին","","","In Progress"
"budget","բյուջե","","","In Progress"
"build","կառուցել","","","In Progress"
"building","շենք","","","In Progress"
"bullet","գնդակ","","","In Progress"
"burn","այրել","","","In Progress"
"bury","թաղել","","","In Progress"
"bus","ավտոբուս","","","In Progress"
"business","բիզնես","","","In Progress"
"busy","զբաղված","","","In Progress"
"but","բայց","","","In Progress"
"butter","կարագ","","","In Progress"
"button","կոճակ","","","In Progress"
"buy","գնել","","","In Progress"
"buyer","գնորդ","","","In Progress"
"by","կողմից","","","In Progress"
"cabinet","պահարան, կաբինետ","","","In Progress"
"cable","մալուխ","","","In Progress"
"cake","տորթ","","","In Progress"
"calculate","հաշվարկել","","","In Progress"
"call","զանգահարել","","","In Progress"
"camera","տեսախցիկ","","","In Progress"
"camp","ճամբար","","","In Progress"
"campaign","արշավ","","","In Progress"
"can","կարող","","","In Progress"
"Canadian","կանադական","","","In Progress"
"cancer","քաղցկեղ","","","In Progress"
"candidate","թեկնածու","","","In Progress"
"cap","գլխարկ","","","In Progress"
"capability","ունակություն","","","In Progress"
"capable","ունակ","","","In Progress"
"capacity","հզորություն","","","In Progress"
"capital","մայրաքաղաք, կապիտալ","","","In Progress"
"captain","կապիտան","","","In Progress"
"car","մեքենա","","","In Progress"
"carbon","ածխածին","","","In Progress"
"card","քարտ","","","In Progress"
"care","հոգալ","","","In Progress"
"career","կարիերա","","","In Progress"
"careful","զգույշ","","","In Progress"
"carefully","զգուշությամբ","","","In Progress"
"carrier","կրող","","","In Progress"
"carry","կրել","","","In Progress"
"case","դեպք","","","In Progress"
"cash","կանխիկ","","","In Progress"
"cast","դերակատարներ","","","In Progress"
"cat","կատու","","","In Progress"
"catch","բռնել","","","In Progress"
"category","կատեգորիա","","","In Progress"
"Catholic","կաթոլիկ","","","Mastered"
"cause","պատճառ","","","In Progress"
"celebrate","տոնել","","","In Progress"
"celebration","տոնակատարություն","","","In Progress"
"celebrity","հայտնի անձ","","","In Progress"
"cell","բջիջ, բանտախուց","","","In Progress"
"center","կենտրոն","","","In Progress"
"central","կենտրոնական","","","In Progress"
"century","դար","","","In Progress"
"CEO","գլխավոր տնօրեն","","","In Progress"
"certain","որոշակի","","","In Progress"
"Certainly","անշուշտ","","","In Progress"
"chair","աթոռ","","","In Progress"
"chairman","նախագահ","","","In Progress"
"challenge","մարտահրավեր","","","In Progress"
"champion","չեմպիոն","","","In Progress"
"championship","չեմպիոնություն","","","In Progress"
"chance","հնարավորություն","","","In Progress"
"change","փոխել","","","Mastered"
"changing","փոխվող","","","In Progress"
"channel","կանալ","","","In Progress"
"chapter","գլուխ","","","In Progress"
"character","կերպար","","","Mastered"
"characteristic","բնութագիր","","","In Progress"
"characterize","բնութագրել","","","In Progress"
"charge","մեղադրանք, լիցք","","","In Progress"
"charity","բարեգործություն","","","In Progress"
"chart","գրաֆիկ","","","In Progress"
"chase","հետապնդում","","","Mastered"
"cheap","էժան","","","In Progress"
"check","ստուգել","","","In Progress"
"cheek","այտ","","","In Progress"
"cheese","պանիր","","","In Progress"
"chef","խոհարար","","","In Progress"
"chemical","քիմիական","","","In Progress"
"chicken","հավ","","","In Progress"
"chief","գլխավոր","","","In Progress"
"child","երեխա","","","In Progress"
"childhood","մանկություն","","","In Progress"
"Chinese","չինական","","","In Progress"
"chip","չիպ","","","In Progress"
"chocolate","շոկոլադ","","","In Progress"
"choice","ընտրություն","","","In Progress"
"choose","ընտրել","","","In Progress"
"Christian","քրիստոնեական","","","In Progress"
"Christmas","Սուրբ Ծնունդ","","","In Progress"
"church","եկեղեցի","","","In Progress"
"cigarette","ցիգարետ","","","In Progress"
"circle","շրջան","","","In Progress"
"citizen","քաղաքացի","","","In Progress"
"city","քաղաք","","","In Progress"
"civil","քաղաքացիական","","","Mastered"
"civilian","քաղաքացիական անձ","","","In Progress"
"claim","պահանջ","","","In Progress"
"class","դաս","","","In Progress"
"classic","դասական","","","In Progress"
"classroom","դասարան","","","In Progress"
"clean","մաքուր","","","In Progress"
"clear","հստակ","","","In Progress"
"clearly","հստակ","","","In Progress"
"client","հաճախորդ","","","Mastered"
"climate","կլիմա","","","In Progress"
"climb","բարձրանալ","","","In Progress"
"clinic","կլինիկա","","","In Progress"
"clinical","կլինիկական","","","In Progress"
"clock","ժամացույց","","","In Progress"
"close","փակել, մոտ","","","In Progress"
"closely","մոտիկից","","","In Progress"
"closer","ավելի մոտ","","","In Progress"
"clothes","հագուստ","","","In Progress"
"clothing","հագուստ","","","In Progress"
"cloud","ամպ","","","Mastered"
"club","ակումբ","","","In Progress"
"clue","հուշ","","","In Progress"
"coach","մարզիչ","","","In Progress"
"coal","ածուխ","","","In Progress"
"coalition","կոալիցիա","","","In Progress"
"coast","ափ","","","In Progress"
"coat","վերարկու","","","In Progress"
"code","կոդ","","","In Progress"
"coffee","սուրճ","","","In Progress"
"cold","ցուրտ","","","In Progress"
"collect","հավաքել","","","In Progress"
"collection","հավաքածու","","","In Progress"
"collective","կոլեկտիվ","","","In Progress"
"college","քոլեջ","","","In Progress"
"colonial","գաղութային","","","In Progress"
"color","գույն","","","In Progress"
"combine","համադրել","","","In Progress"
"come","գալ","","","In Progress"
"comedy","կատակերգություն","","","In Progress"
"comfort","հարմարավետություն","","","In Progress"
"comfortable","հարմարավետ","","","In Progress"
"command","հրաման","","","In Progress"
"commander","հրամանատար","","","In Progress"
"comment","մեկնաբանություն","","","Mastered"
"commercial","առևտրային","","","In Progress"
"commission","հանձնաժողով","","","In Progress"
"committee","կոմիտե","","","In Progress"
"common","սովորական","","","In Progress"
"communicate","հաղորդակցվել","","","In Progress"
"communication","հաղորդակցություն","","","In Progress"
"community","համայնք","","","In Progress"
"company","ընկերություն","","","In Progress"
"compare","համեմատել","","","In Progress"
"complete","ավարտել","","","In Progress"
"completely","ամբողջությամբ","","","In Progress"
"Compulsorily","պարտադիր","","","In Progress"
"computer","համակարգիչ","","","In Progress"
"concentrate","կենտրոնանալ","","","In Progress"
"concentration","կենտրոնացում","","","In Progress"
"Concern","մտահոգություն","","","In Progress"
"condition","պայման","","","In Progress"
"Conference","կոնֆերանս","","","In Progress"
"Congress","կոնգրես","","","In Progress"
"consider","հաշվի առնել","","","In Progress"
"Consumer","սպառող","","","In Progress"
"contain","պարունակել","","","In Progress"
"continue","շարունակել","","","In Progress"
"control","վերահսկողություն","","","In Progress"
"cost","արժեք","","","In Progress"
"could","կարող էր","","","In Progress"
"country","երկիր","","","In Progress"
"couple"," զույգ","","","In Progress"
"course","դասընթաց, ընթացք","","","In Progress"
"Court","դատարան","","","In Progress"
"cover","կազմ, ծածկել","","","In Progress"
"create","ստեղծել","","","In Progress"
"crime","հանցանք","","","In Progress"
"cultural","մշակութային","","","In Progress"
"culture","մշակույթ","","","In Progress"
"cup","գավաթ","","","In Progress"
"current","ընթացիկ","","","In Progress"
"customer","հաճախորդ","","","In Progress"
"cut","կտրել","","","In Progress"
"dark","մութ","","","In Progress"
"data","տվյալներ","","","In Progress"
"daughter","դուստր","","","Mastered"
"day","օր","","","In Progress"
"dead","մեռած","","","In Progress"
"deal","գործարք","","","In Progress"
"death","մահ","","","In Progress"
"Debate","բանավեճ","","","In Progress"
"Decade","տասնամյակ","","","In Progress"
"deception","խաբեություն","","","In Progress"
"decide","որոշել","","","In Progress"
"decision","որոշում","","","In Progress"
"Deep","խոր","","","In Progress"
"defense","պաշտպանություն","","","In Progress"
"degree","աստիճան","","","In Progress"
"Democrat","Դեմոկրատ","","","Mastered"
"democratic","դեմոկրատական","","","In Progress"
"design","դիզայն","","","In Progress"
"Despite","չնայած","","","In Progress"
"detail","մանրամասնություն","","","In Progress"
"determine","որոշել","","","In Progress"
"develop","զարգացնել","","","In Progress"
"development","զարգացում","","","In Progress"
"die","մահանալ","","","In Progress"
"difference","տարբերություն","","","In Progress"
"different","տարբեր","","","In Progress"
"difficult","դժվար","","","In Progress"
"dinner","ընթրիք","","","In Progress"
"direction","ուղղություն","","","In Progress"
"director","ռեժիսոր, տնօրեն","","","In Progress"
"discover","հայտնաբերել","","","In Progress"
"discuss","քննարկել","","","In Progress"
"discussion","քննարկում","","","In Progress"
"disease","հիվանդություն","","","In Progress"
"do","անել","","","In Progress"
"doctor","բժիշկ","","","In Progress"
"dog","շուն","","","In Progress"
"door","Դուռ","","","Mastered"
"down","ներքև","","","In Progress"
"draw","նկարել","","","In Progress"
"dream","երազ","","","In Progress"
"drive","վարել","","","In Progress"
"drop","թողնել, կաթիլ","","","In Progress"
"drug","դեղ, թմրանյութ","","","In Progress"
"during","ընթացքում","","","In Progress"
"each","յուրաքանչյուր","","","In Progress"
"early","վաղ","","","In Progress"
"east","արևելք","","","In Progress"
"easy","հեշտ","","","In Progress"
"eat","ուտել","","","In Progress"
"economic","տնտեսական","","","In Progress"
"economy","տնտեսություն","","","In Progress"
"edge","եզր","","","In Progress"
"education","կրթություն","","","In Progress"
"effect","էֆեկտ","","","In Progress"
"eight","ութ","","","In Progress"
"Either","կամ","","","In Progress"
"election","ընտրություն","","","In Progress"
"else","այլ","","","In Progress"
"Embed","ներդնել","","","In Progress"
"employee","աշխատակից","","","In Progress"
"end","վերջ","","","In Progress"
"energy","էներգիա","","","In Progress"
"enjoy","վայելել","","","In Progress"
"enmity","թշնամություն","","","Mastered"
"enough","բավարար","","","In Progress"
"enter","մտնել","","","In Progress"
"Entire","Ամբողջ","","","Mastered"
"environment","միջավայր","","","In Progress"
"environmental","բնապահպանական","","","In Progress"
"especially","հատկապես","","","In Progress"
"Established","հաստատված","","","In Progress"
"even","նույնիսկ","","","In Progress"
"evening","երեկո","","","In Progress"
"event","իրադարձություն","","","In Progress"
"ever","երբևէ","","","In Progress"
"every","ամեն","","","In Progress"
"everybody","բոլորը","","","In Progress"
"everyone","բոլորը","","","In Progress"
"everything","ամեն ինչ","","","In Progress"
"evidence","ապացույց","","","In Progress"
"Exactly","ճիշտ","","","In Progress"
"example","օրինակ","","","In Progress"
"executive","գործադիր","","","In Progress"
"Exist","գոյություն ունենալ","","","In Progress"
"expectation","ակնկալիք","","","In Progress"
"experience","փորձ","","","In Progress"
"expert","փորձագետ","","","In Progress"
"explain","բացատրել","","","In Progress"
"expression","արտահայտություն","","","In Progress"
"extraordinary","արտասովոր","","","In Progress"
"eye","աչք","","","In Progress"
"face","դեմք","","","In Progress"
"fact","փաստ","","","Mastered"
"factor","գործոն","","","In Progress"
"fail","ձախողվել","","","In Progress"
"fall","ընկնել","","","In Progress"
"family","ընտանիք","","","In Progress"
"far","հեռու","","","In Progress"
"fast","արագ","","","In Progress"
"father","հայր","","","In Progress"
"fear","վախ","","","In Progress"
