English,Armenian,Definition,Synonyms,Stage
"federal","ֆեդերալ","","","In Progress"
"feel","զգալ","","","In Progress"
"feeling","զգացմունք","","","Mastered"
"few","քիչ","","","In Progress"
"field","դաշտ","","","Mastered"
"fight","պայքար","","","In Progress"
"figure","թիվ, պատկեր","","","In Progress"
"film","ֆիլմ","","","In Progress"
"final","վերջնական","","","In Progress"
"finally","վերջապես","","","In Progress"
"financial","ֆինանսական","","","In Progress"
"find","գտնել","","","In Progress"
"fine","լավ","","","In Progress"
"finger","մատ","","","In Progress"
"finish","ավարտել","","","In Progress"
"fire","կրակ","","","In Progress"
"firm","ֆիրմա, ամուր","","","In Progress"
"first","առաջին","","","In Progress"
"fish","ձուկ","","","In Progress"
"five","հինգ","","","In Progress"
"flee","փախչել","","","In Progress"
"floor","հատակ","","","In Progress"
"fly","թռչել","","","In Progress"
"focus","կենտրոնանալ","","","In Progress"
"follow","հետևել","","","In Progress"
"food","սնունդ","","","In Progress"
"foot","ոտք","","","In Progress"
"for","համար","","","In Progress"
"force","ուժ","","","In Progress"
"foreign","օտար","","","In Progress"
"forget","մոռանալ","","","In Progress"
"Form","ձև","","","In Progress"
"former","նախկին","","","In Progress"
"Forward","առաջ","","","In Progress"
"four","չորս","","","In Progress"
"free","ազատ","","","In Progress"
"friend","ընկեր","","","In Progress"
"from","ից","","","In Progress"
"front","ճակատ","","","In Progress"
"full","լի","","","In Progress"
"fund","ֆոնդ","","","In Progress"
"future","ապագա","","","In Progress"
"game","խաղ","","","In Progress"
"garden","այգի","","","In Progress"
"gas","գազ","","","In Progress"
"general","գեներալ, ընդհանուր","","","In Progress"
"generation","սերունդ","","","In Progress"
"get","ստանալ","","","In Progress"
"girl","աղջիկ","","","In Progress"
"give","տալ","","","In Progress"
"glass","ապակի","","","In Progress"
"go","գնալ","","","In Progress"
"goal","նպատակ","","","In Progress"
"good","լավ","","","In Progress"
"government","կառավարություն","","","In Progress"
"great","մեծ","","","In Progress"
"green","կանաչ","","","In Progress"
"Ground","հող","","","In Progress"
"group","խումբ","","","In Progress"
"grow","աճել","","","In Progress"
"growth","աճ","","","In Progress"
"guess","կռահել","","","In Progress"
"gun","ատրճանակ","","","In Progress"
"guy","տղա","","","In Progress"
"hair","մազ","","","In Progress"
"half","կես","","","In Progress"
"hand","ձեռք","","","In Progress"
"happen","պատահել","","","Mastered"
"happy","ուրախ","","","In Progress"
"hard","դժվար, կոշտ","","","In Progress"
"have","ունենալ","","","In Progress"
"he","նա","","","In Progress"
"head","գլուխ","","","In Progress"
"health","առողջություն","","","In Progress"
"heart","սիրտ","","","In Progress"
"heat","ջերմություն","","","In Progress"
"help","օգնություն","","","Mastered"
"her","նրա","","","In Progress"
"here","այստեղ","","","Mastered"
"herself","ինքը","","","In Progress"
"high","բարձր","","","In Progress"
"him","նրան","","","In Progress"
"himself","ինքը","","","In Progress"
"his","նրա","","","In Progress"
"history","պատմություն","","","In Progress"
"Hit","հարված","","","In Progress"
"hold","պահել","","","In Progress"
"home","տուն","","","In Progress"
"hope","հույս","","","In Progress"
"hospital","հիվանդանոց","","","In Progress"
"hot","տաք","","","In Progress"
"hotel","հյուրանոց","","","In Progress"
"hour","ժամ","","","In Progress"
"house","տուն","","","In Progress"
"how","ինչպես","","","In Progress"
"however","սակայն","","","In Progress"
"huge","հսկայական","","","In Progress"
"hundred","հարյուր","","","In Progress"
"husband","ամուսին","","","In Progress"
"I","ես","","","In Progress"
"idea","գաղափար","","","In Progress"
"Identify","ճանաչել","","","In Progress"
"if","եթե","","","In Progress"
"image","պատկեր","","","In Progress"
"imagine","պատկերացնել","","","In Progress"
"Impact","ազդեցություն","","","In Progress"
"implementation","իրականացում","","","In Progress"
"important","կարևոր","","","In Progress"
"improve","բարելավել","","","In Progress"
"in","մեջ","","","In Progress"
"include","ներառել","","","In Progress"
"including","ներառյալ","","","In Progress"
"increase","աճ","","","In Progress"
"individual","անհատ","","","Mastered"
"industry","արդյունաբերություն","","","In Progress"
"information","տեղեկատվություն","","","In Progress"
"innumerable","անթիվ","","","In Progress"
"inseparable","անբաժան","","","In Progress"
"inside","ներսում","","","In Progress"
"insist","պնդել","","","In Progress"
"instead","փոխարեն","","","In Progress"
"institution","հաստատություն","","","In Progress"
"interest","հետաքրքրություն","","","In Progress"
"interesting","հետաքրքիր","","","In Progress"
"international","միջազգային","","","Mastered"
"interview","հարցազրույց","","","In Progress"
"into","մեջ","","","In Progress"
"investment","ներդրում","","","In Progress"
"Involve","ներգրավել","","","In Progress"
"irritating","գրգռիչ","","","In Progress"
"issue","խնդիր","","","In Progress"
"it","դա","","","In Progress"
"item","կետ, առարկա","","","In Progress"
"its","նրա","","","In Progress"
"itself","ինքնիրեն","","","Mastered"
"job","աշխատանք","","","In Progress"
"join","միանալ","","","In Progress"
"just","հենց","","","In Progress"
"keep","պահել","","","In Progress"
"key","բանալի, հիմնական","","","In Progress"
"kid","երեխա","","","In Progress"
"kill","սպանել","","","In Progress"
"kind","տեսակ, բարի","","","In Progress"
"kitchen","խոհանոց","","","In Progress"
"know","գիտել","","","In Progress"
"knowledge","գիտելիք","","","In Progress"
"land","հող","","","In Progress"
"language","լեզու","","","In Progress"
"large","մեծ","","","In Progress"
"last","վերջին","","","In Progress"
"late","ուշ","","","In Progress"
"later","ավելի ուշ","","","In Progress"
"laugh","ծիծաղ","","","In Progress"
"law","օրենք","","","In Progress"
"lawyer","փաստաբան","","","In Progress"
"lay","դնել","","","In Progress"
"lead","առաջնորդել","","","In Progress"
"leader","ղեկավար","","","Mastered"
"learn","սովորել","","","In Progress"
"least","ամենաքիչ","","","Mastered"
"leave","լքել","","","In Progress"
"left","ձախ","","","In Progress"
"leg","ոտք","","","In Progress"
"legal","օրինական","","","In Progress"
"less","ավելի քիչ","","","In Progress"
"let","թողնել","","","In Progress"
"letter","նամակ","","","In Progress"
"level","մակարդակ","","","In Progress"
"lie","սուտ","","","In Progress"
"life","կյանք","","","In Progress"
"light","լույս","","","In Progress"
"like","նման, դուր գալ","","","In Progress"
"likely","հավանական","","","In Progress"
"line","գիծ","","","Mastered"
"list","ցուցակ","","","In Progress"
"listen","լսել","","","In Progress"
"little","փոքր","","","In Progress"
"live","ապրել","","","In Progress"
"local","տեղական","","","In Progress"
"long","երկար","","","In Progress"
"look","նայել","","","Mastered"
"lose","կորցնել","","","In Progress"
"loss","կորուստ","","","In Progress"
"lot","շատ","","","In Progress"
"love","սեր","","","In Progress"
"low","ցածր","","","In Progress"
"machine","մեքենա","","","In Progress"
"magazine","ամսագիր","","","In Progress"
"Main","գլխավոր","","","In Progress"
"maintain","պահպանել","","","In Progress"
"major","հիմնական","","","In Progress"
"majority","մեծամասնություն","","","In Progress"
"make","պատրաստել","","","In Progress"
"man","մարդ, տղամարդ","","","In Progress"
"manage","կառավարել","","","In Progress"
"management","կառավարում","","","In Progress"
"manager","մենեջեր","","","In Progress"
"many","շատ","","","In Progress"
"market","շուկա","","","In Progress"
"marriage","ամուսնություն","","","In Progress"
"material","նյութ","","","In Progress"
"matter","նյութ, հարց","","","In Progress"
"may","կարող է","","","In Progress"
"maybe","գուցե","","","In Progress"
"me","ինձ","","","In Progress"
"mean","նշանակել","","","In Progress"
"measure","չափել","","","In Progress"
"media","լրատվամիջոց","","","In Progress"
"medical","բժշկական","","","In Progress"
"meet","հանդիպել","","","In Progress"
"meeting","հանդիպում","","","In Progress"
"member","անդամ","","","In Progress"
"memory","հիշողություն","","","In Progress"
"message","հաղորդագրություն","","","In Progress"
"method","մեթոդ","","","In Progress"
"middle","միջին","","","In Progress"
"might","կարող է","","","In Progress"
"military","ռազմական","","","Mastered"
"million","միլիոն","","","In Progress"
"mind","միտք","","","In Progress"
"minute","րոպե","","","In Progress"
"miss","բաց թողնել","","","In Progress"
"mission","առաքելություն","","","In Progress"
"model","մոդել","","","Mastered"
"modern","ժամանակակից","","","Mastered"
"moment","պահ","","","In Progress"
"money","փող","","","In Progress"
"month","ամիս","","","In Progress"
"more","ավելի","","","In Progress"
"morning","առավոտ","","","Mastered"
"most","ամենաշատ","","","In Progress"
"mother","մայր","","","In Progress"
"mouth","բերան","","","In Progress"
"move","շարժվել","","","In Progress"
"movement","շարժում","","","In Progress"
"movie","ֆիլմ","","","In Progress"
"Mr","պարոն","","","In Progress"
"Mrs","տիկին","","","In Progress"
"much","շատ","","","In Progress"
"music","երաժշտություն","","","In Progress"
"must","պետք է","","","In Progress"
"my","իմ","","","In Progress"
"myself","ինքս","","","In Progress"
"n't","չ","","","In Progress"
"name","անուն","","","In Progress"
"nation","ազգ","","","In Progress"
"national","ազգային","","","In Progress"
"natural","բնական","","","In Progress"
"nature","բնություն","","","In Progress"
"near","մոտ","","","In Progress"
"nearly","գրեթե","","","In Progress"
"necessary","անհրաժեշտ","","","In Progress"
"need","կարիք","","","In Progress"
"network","ցանց","","","In Progress"
"never","երբեք","","","In Progress"
"new","նոր","","","In Progress"
"news","նորություն","","","In Progress"
"newspaper","թերթ","","","In Progress"
"next","հաջորդ","","","In Progress"
"nice","հաճելի","","","In Progress"
"night","գիշեր","","","In Progress"
"no","ոչ","","","In Progress"
"none","ոչ ոք","","","In Progress"
"nor","ոչ էլ","","","In Progress"
"north","հյուսիս","","","In Progress"
"not","ոչ","","","In Progress"
"note","նշում","","","In Progress"
"nothing","ոչինչ","","","In Progress"
"notice","նկատել","","","In Progress"
"now","հիմա","","","In Progress"
"number","թիվ","","","In Progress"
"of","ի","","","In Progress"
"off","անջատ","","","In Progress"
"office","գրասենյակ","","","Mastered"
"officer","սպա","","","In Progress"
"official","պաշտոնական","","","In Progress"
"often","հաճախ","","","In Progress"
"oh","օհ","","","In Progress"
"oil","ձեթ, նավթ","","","In Progress"
"ok","լավ","","","Mastered"
"old","հին","","","In Progress"
"on","վրա","","","In Progress"
"once","մեկ անգամ","","","In Progress"
"one","մեկ","","","In Progress"
"only","միայն","","","In Progress"
"onto","վրա","","","In Progress"
"open","բացել","","","Mastered"
"operation","գործողություն","","","In Progress"
"option","տարբերակ","","","In Progress"
"or","կամ","","","In Progress"
"order","պատվեր, կարգ","","","In Progress"
"organization","կազմակերպություն","","","In Progress"
"other","այլ","","","In Progress"
"others","այլոք","","","In Progress"
"our","մեր","","","In Progress"
"out","դուրս","","","In Progress"
"outside","դրսում","","","In Progress"
"over","վրա, ավել","","","In Progress"
"own","սեփական","","","In Progress"
"owner","սեփականատեր","","","Mastered"
"page","էջ","","","In Progress"
"pain","ցավ","","","Mastered"
"painting","նկար","","","In Progress"
"paper","թուղթ","","","In Progress"
"parent","ծնող","","","In Progress"
"part","մաս","","","In Progress"
"participant","մասնակից","","","In Progress"
"particular","հատուկ","","","In Progress"
"particularly","հատկապես","","","In Progress"
"partner","գործընկեր","","","In Progress"
"party","կուսակցություն, երեկույթ","","","In Progress"
"past","անցյալ","","","In Progress"
"patient","հիվանդ, համբերատար","","","In Progress"
"pattern","օրինակ","","","In Progress"
"pay","վճարել","","","In Progress"
"peace","խաղաղություն","","","In Progress"
"people","մարդիկ","","","In Progress"
"per","մեկը","","","In Progress"
"period","ժամանակաշրջան","","","In Progress"
"person","անձ","","","In Progress"
"personal","անձնական","","","In Progress"
"phone","հեռախոս","","","In Progress"
"physical","ֆիզիկական","","","In Progress"
"pick","վերցնել","","","In Progress"
"picture","նկար","","","In Progress"
"place","վայր","","","In Progress"
"plan","պլան","","","In Progress"
"plant","բույս","","","In Progress"
"play","խաղալ","","","In Progress"
"player","խաղացող","","","In Progress"
"PM","հետկեսօր","","","In Progress"
"point","կետ","","","In Progress"
"police","ոստիկանություն","","","In Progress"
"policy","քաղաքականություն","","","In Progress"
"political","քաղաքական","","","In Progress"
"politics","քաղաքականություն","","","In Progress"
"poor","աղքատ","","","In Progress"
"popular","հանրաճանաչ","","","In Progress"
"population","բնակչություն","","","In Progress"
"Position","դիրք","","","In Progress"
"positive","դրական","","","In Progress"
"possible","հնարավոր","","","In Progress"
"power","ուժ","","","In Progress"
"practice","պրակտիկա","","","In Progress"
"prepare","պատրաստել","","","In Progress"
"present","ներկա","","","Mastered"
"president","նախագահ","","","In Progress"
"pressure","ճնշում","","","In Progress"
"pretty","գեղեցիկ","","","In Progress"
"prevent","կանխել","","","In Progress"
"price","գին","","","In Progress"
"private","մասնավոր","","","In Progress"
"probably","հավանաբար","","","In Progress"
"problem","խնդիր","","","In Progress"
"process","գործընթաց","","","In Progress"
"produce","արտադրել","","","In Progress"
"product","արտադրանք","","","In Progress"
"production","արտադրություն","","","In Progress"
"professional","մասնագիտական","","","In Progress"
"professor","պրոֆեսոր","","","In Progress"
"program","ծրագիր","","","In Progress"
"project","նախագիծ","","","In Progress"
"property","գույք","","","In Progress"
"protect","պաշտպանել","","","In Progress"
"Prove","ապացուցել","","","In Progress"
"public","հանրային","","","In Progress"
"pull","քաշել","","","In Progress"
"purpose","նպատակ","","","In Progress"
"push","հրել","","","In Progress"
"put","դնել","","","In Progress"
"quality","որակ","","","In Progress"
"question","հարց","","","In Progress"
"quickly","արագ","","","In Progress"
"quite","բավական","","","In Progress"
"radio","ռադիո","","","In Progress"
"raise","բարձրացնել","","","In Progress"
"range","տիրույթ","","","In Progress"
"rate","դրույք","","","In Progress"
"reach","հասնել","","","In Progress"
"read","կարդալ","","","In Progress"
"ready","պատրաստ","","","In Progress"
"real","իրական","","","In Progress"
"reality","իրականություն","","","In Progress"
"realize","գիտակցել","","","In Progress"
"really","իրականում","","","In Progress"
"reason","պատճառ","","","Mastered"
"receive","ստանալ","","","In Progress"
"recent","վերջին","","","In Progress"
"recently","վերջերս","","","In Progress"
"recognize","ճանաչել","","","In Progress"
"record","գրառում","","","In Progress"
"red","կարմիր","","","In Progress"
"reduce","նվազեցնել","","","In Progress"
"region","տարածաշրջան","","","In Progress"
"Relate","կապել","","","In Progress"
"relationship","հարաբերություն","","","In Progress"
"religious","կրոնական","","","In Progress"
"remain","մնալ","","","In Progress"
"remember","հիշել","","","Mastered"
"remove","հեռացնել","","","Mastered"
"report","հաշվետվություն","","","In Progress"
"represent","ներկայացնել","","","Mastered"
"Republican","հանրապետական","","","In Progress"
"require","պահանջել","","","In Progress"
"research","հետազոտություն","","","In Progress"
"resource","ռեսուրս","","","In Progress"
"respond","պատասխանել","","","In Progress"
"response","պատասխան","","","In Progress"
"responsibility","պատասխանատվություն","","","In Progress"
"result","արդյունք","","","In Progress"
"return","վերադարձ","","","In Progress"
"rich","հարուստ","","","In Progress"
"right","ճիշտ, աջ","","","In Progress"
"rise","բարձրանալ","","","In Progress"
"risk","ռիսկ","","","In Progress"
"road","ճանապարհ","","","In Progress"
"rock","ժայռ","","","In Progress"
"room","սենյակ","","","In Progress"
"rule","կանոն","","","In Progress"
"run","վազել, վարել","","","In Progress"
"safe","անվտանգ","","","In Progress"
"same","նույն","","","In Progress"
"save","պահպանել","","","In Progress"
"say","ասել","","","In Progress"
"school","դպրոց","","","Mastered"
"science","գիտություն","","","Mastered"
"scientist","գիտնական","","","Mastered"
"score","միավոր","","","In Progress"
"sea","ծով","","","Mastered"
"season","սեզոն","","","In Progress"
"seat","նստատեղ","","","In Progress"
"second","վարկյան","","","Mastered"
"secrecy","գաղտնիություն","","","In Progress"
"security","անվտանգություն","","","In Progress"
"see","տեսնել","","","In Progress"
"seem","թվալ","","","In Progress"
"sell","վաճառել","","","In Progress"
"send","ուղարկել","","","In Progress"
"senior","ավագ","","","Mastered"
"series","սերիա","","","In Progress"
"serious","լուրջ","","","Mastered"
"Serve","սպասարկել","","","In Progress"
"service","սպասարկում","","","In Progress"
"set","սահմանել","","","In Progress"
"seven","յոթ","","","Mastered"
"sex","սեռ","","","In Progress"
"sexual","սեռական","","","In Progress"
"shake","թափահարել","","","In Progress"
"share","կիսվել","","","In Progress"
"she","նա","","","Mastered"
"shoot","կրակել","","","In Progress"
"short","կարճ","","","In Progress"
"should","պետք է","","","In Progress"
"shoulder","ուս","","","In Progress"
"show","ցույց տալ","","","In Progress"
"side","կողմ","","","In Progress"
"sign","ստորագրել","","","In Progress"
"simple","պարզ","","","In Progress"
"simply","պարզապես","","","In Progress"
"since","քանի որ","","","In Progress"
"sing","երգել","","","In Progress"
"single","մեկ","","","In Progress"
"sister","քույր","","","In Progress"
"sit","նստել","","","In Progress"
"situation","իրավիճակ","","","In Progress"
"six","վեց","","","In Progress"
"size","չափ","","","In Progress"
"skill","հմտություն","","","In Progress"
"skin","մաշկ","","","In Progress"
"small","փոքր","","","In Progress"
"smile","ժպիտ","","","Mastered"
"so","այնպես","","","In Progress"
"social","սոցիալական","","","In Progress"
"society","հասարակություն","","","In Progress"
"soldier","զինվոր","","","In Progress"
"some","որոշ","","","In Progress"
"somebody","որևէ մեկը","","","In Progress"
"someone","որևէ մեկը","","","In Progress"
"something","որևէ բան","","","In Progress"
"sometimes","երբեմն","","","In Progress"
"son","որդի","","","In Progress"
"song","երգ","","","In Progress"
"soon","շուտով","","","In Progress"
"sort","տեսակ","","","In Progress"
"sound","ձայն","","","In Progress"
"source","աղբյուր","","","In Progress"
"south","հարավ","","","In Progress"
"southern","հարավային","","","In Progress"
"space","տարածություն","","","In Progress"
"speak","խոսել","","","In Progress"
"special","հատուկ","","","In Progress"
"specific","կոնկրետ","","","In Progress"
"speech","խոսք","","","In Progress"
"spend","ծախսել","","","In Progress"
"sport","սպորտ","","","In Progress"
"spring","գարուն","","","In Progress"
"stand","կանգնել","","","In Progress"
"standard","ստանդարտ","","","In Progress"
"star","աստղ","","","In Progress"
"start","սկսել","","","In Progress"
"state","պետություն","","","In Progress"
"station","կայարան","","","In Progress"
"stay","մնալ","","","In Progress"
"step","քայլ","","","In Progress"
"still","դեռ","","","In Progress"
"stirred","խառնված","","","In Progress"
"stock","բաժնետոմս","","","In Progress"
"stop","կանգնեցնել","","","In Progress"
"store","խանութ","","","In Progress"
"story","պատմություն","","","In Progress"
"strategy","ռազմավարություն","","","In Progress"
"street","փողոց","","","In Progress"
"strong","ուժեղ","","","In Progress"
"student","ուսանող","","","In Progress"
"study","ուսումնասիրել","","","In Progress"
"style","ոճ","","","In Progress"
"subject","թեմա","","","In Progress"
"subsequent","հետագա","","","In Progress"
"success","հաջողություն","","","In Progress"
"successful","հաջողակ","","","In Progress"
"such","այդպիսի","","","In Progress"
"suddenly","հանկարծ","","","In Progress"
"suggest","առաջարկել","","","In Progress"
"summer","ամառ","","","In Progress"
"support","աջակցություն","","","In Progress"
"sure","վստահ","","","Mastered"
"system","համակարգ","","","In Progress"
"table","սեղան","","","In Progress"
"take","վերցնել","","","In Progress"
"talk","խոսել","","","In Progress"
"tax","հարկ","","","In Progress"
"teach","դասավանդել","","","In Progress"
"teacher","Ուսուցիչ","","","Mastered"
"team","թիմ","","","In Progress"
"technology","տեխնոլոգիա","","","Mastered"
"television","հեռուստատեսություն","","","In Progress"
"tell","պատմել","","","In Progress"
"ten","տասը","","","In Progress"
"test","թեստ","","","In Progress"
"than","քան","","","In Progress"
"thank","շնորհակալություն","","","In Progress"
"that","այդ","","","In Progress"
"the","-ը","","","In Progress"
"their","նրանց","","","In Progress"
"them","նրանց","","","In Progress"
"themselves","ինքն իրենց","","","In Progress"
"then","այն ժամանակ","","","In Progress"
"there","այնտեղ","","","In Progress"
"these","այս","","","In Progress"
"they","նրանք","","","In Progress"
"thing","բան","","","In Progress"
"think","մտածել","","","In Progress"
"third","երրորդ","","","In Progress"
"this","այս","","","In Progress"
"thoroughly","մանրամասն","","","In Progress"
"those","այդ","","","In Progress"
"though","չնայած","","","In Progress"
"thought","միտք","","","In Progress"
"thousand","հազար","","","In Progress"
"three","երեք","","","In Progress"
"through","միջով","","","In Progress"
"throughout","ամբողջովին","","","In Progress"
"time","ժամանակ","","","In Progress"
"to","դեպի","","","In Progress"
"today","այսօր","","","Mastered"
"together","միասին","","","In Progress"
"tonight","այս երեկո","","","In Progress"
"too","նույնպես","","","In Progress"
"top","վերև","","","In Progress"
"total","ընդհանուր","","","In Progress"
"town","քաղաք","","","In Progress"
"trade","առևտուր","","","In Progress"
"traditional","ավանդական","","","Mastered"
"training","վերապատրաստում","","","In Progress"
"travel","ճանապարհորդություն","","","In Progress"
"treat","բուժել","","","In Progress"
"treatment","բուժում","","","In Progress"
"tree","ծառ","","","In Progress"
"trial","դատավարություն","","","In Progress"
"trip","ճամփորդություն","","","In Progress"
"trouble","խնդիր","","","Mastered"
"True","ճիշտ","","","In Progress"
"truth","ճշմարտություն","","","In Progress"
"try","փորձել","","","In Progress"
"turn","շրջել","","","In Progress"
"TV","Հեռուստացույց","","","Mastered"
"two","երկու","","","In Progress"
"type","տեսակ","","","In Progress"
"under","տակ","","","In Progress"
"understand","հասկանալ","","","In Progress"
"unit","միավոր","","","In Progress"
"until","մինչև","","","In Progress"
"up","վերև","","","In Progress"
"us","մեզ","","","In Progress"
"use","օգտագործել","","","In Progress"
"usually","սովորաբար","","","In Progress"
"value","արժեք","","","In Progress"
"very","շատ","","","In Progress"
"view","տեսք","","","In Progress"
"violence","բռնություն","","","In Progress"
"visit","այցելություն","","","In Progress"
"voice","ձայն","","","In Progress"
"vote","քվեարկություն","","","In Progress"
"wait","սպասել","","","In Progress"
"walk","քայլել","","","In Progress"
"wall","պատ","","","In Progress"
"want","ցանկանալ","","","In Progress"
"war","պատերազմ","","","In Progress"
"watch","դիտել","","","In Progress"
"water","ջուր","","","In Progress"
"way","ճանապարհ","","","In Progress"
"we","մենք","","","In Progress"
"weapon","զենք","","","In Progress"
"wear","հագնել","","","In Progress"
"week","շաբաթ","","","In Progress"
"weight","քաշ","","","In Progress"
"well","լավ","","","In Progress"
"west","արևմուտք","","","In Progress"
"western","արևմտյան","","","In Progress"
"what","ինչ","","","Mastered"
"whatever","ինչ էլ","","","In Progress"
"when","երբ","","","In Progress"
"where","որտեղ","","","In Progress"
"which","որ","","","In Progress"
"while","մինչդեռ","","","In Progress"
"white","սպիտակ","","","In Progress"
"who","ով","","","In Progress"
"whole","ամբողջ","","","In Progress"
"whom","ում","","","Mastered"
"why","ինչու","","","Mastered"
"wife","կին","","","In Progress"
"will","կամք","","","In Progress"
"win","հաղթել","","","In Progress"
"wind","քամի","","","In Progress"
"window","պատուհան","","","Mastered"
"wish","ցանկություն","","","Mastered"
"with","հետ","","","In Progress"
"without","առանց","","","In Progress"
"woman","կին","","","Mastered"
"wonder","հիանալ","","","In Progress"
"work","աշխատանք","","","Mastered"
"worker","աշխատող","","","In Progress"
"world","աշխարհ","","","In Progress"
"worry","անհանգստանալ","","","In Progress"
"would","կ","","","In Progress"
"write","գրել","","","In Progress"
"writer","գրող","","","In Progress"
"wrong","սխալ","","","In Progress"
"Yard","բակ","","","In Progress"
"yeah","այո","","","In Progress"
"year","տարի","","","In Progress"
"yes","այո","","","In Progress"
"yet","դեռ","","","In Progress"
"you","դու","","","In Progress"
"young","երիտասարդ","","","Mastered"
"your","քո","","","In Progress"
"yourself","ինքդ","","","In Progress"